WKT,unnamed (1),institutionid,Latitude,Longitude,year,ID,N,species
POINT (-118.649 35.84219444),1,CAS,35.84219444,-118.649,2001,CAS220918,1,Sceloporus
POINT (-122.62075 39.28161111),2,CAS,39.28161111,-122.62075,2000,CAS212756,1,Sceloporus
POINT (-118.4985 36.21638889),3,CAS,36.21638889,-118.4985,2002,CAS224151,1,Sceloporus
POINT (-121.82269 38.27639),4,HBS,38.27639,-121.82269,NA,HBS120908,1,Sceloporus
POINT (-117.042 32.8168),6,RF,32.8168,-117.042,NA,RF22,1,Sceloporus
POINT (-116.175 33.9297),7,RF,33.9297,-116.175,NA,RF1,1,Sceloporus
POINT (-118.49419 34.36566),8,LACM,34.36566,-118.49419,2015,LACM186710,1,Sceloporus
POINT (-120.6703611 36.41786944),9,CAS,36.41786944,-120.6703611,2018,CAS262691,1,Sceloporus
POINT (-116.465 33.0998),10,RF,33.0998,-116.465,NA,RF5,1,Sceloporus
POINT (-118.4518056 35.80036111),11,CAS,35.80036111,-118.4518056,2001,CAS219594,1,Sceloporus
POINT (-122.8166944 39.87311111),12,CAS,39.87311111,-122.8166944,2000,CAS212656,1,Sceloporus
POINT (-117.037 32.6436),13,RF,32.6436,-117.037,NA,RF21,1,Sceloporus
POINT (-117.252 32.9149),14,RF,32.9149,-117.252,NA,RF28,1,Sceloporus
POINT (-119.2433889 37.33144444),15,CAS,37.33144444,-119.2433889,2000,CAS213075,1,Sceloporus
POINT (-116.989 33.0893),16,RF,33.0893,-116.989,NA,RF18,1,Sceloporus
POINT (-122.10728 38.49518),17,HBS,38.49518,-122.10728,NA,HBS122657,1,Sceloporus
POINT (-118.25028 35.578),18,MVZ,35.578,-118.25028,2010,MVZ:Herp:265557,1,Sceloporus
POINT (-121.55737 36.37528),19,MVZ,36.37528,-121.55737,2003,MVZ:Herp:238564,1,Sceloporus
POINT (-118.305 34.1324),21,RF,34.1324,-118.305,NA,RF48,1,Sceloporus
POINT (-120.4530556 36.31766667),22,CAS,36.31766667,-120.4530556,2013,CAS252891,1,Sceloporus
POINT (-116.757 33.1971),23,RF,33.1971,-116.757,NA,RF9,1,Sceloporus
POINT (-118.034 33.9985),24,RF,33.9985,-118.034,NA,RF47,1,Sceloporus
POINT (-117.83517 34.29102),25,LACM,34.29102,-117.83517,2015,LACM186734,1,Sceloporus
POINT (-118.7608611 36.20111111),26,CAS,36.20111111,-118.7608611,2002,CAS224896,1,Sceloporus
POINT (-116.691 32.7631),27,RF,32.7631,-116.691,NA,RF8,1,Sceloporus
POINT (-120.0440556 34.74275),28,MVZ,34.74275,-120.0440556,2006,MVZ:Herp:257126,1,Sceloporus
POINT (-117.845 33.9793),29,RF,33.9793,-117.845,NA,RF45,1,Sceloporus
POINT (-115.4065 35.16634),30,MVZ,35.16634,-115.4065,2010,MVZ:Herp:265296,1,Sceloporus
POINT (-120.0332828 41.58324303),32,CAS,41.58324303,-120.0332828,2017,CAS262282,1,Sceloporus
POINT (-123.65272 39.718485),33,HBS,39.718485,-123.65272,NA,HBS26683,1,Sceloporus
POINT (-122.447229 40.752781),34,MVZ,40.752781,-122.447229,2003,MVZ:Herp:250589,1,Sceloporus
POINT (-122.18314 40.38944),35,MVZ,40.38944,-122.18314,2007,MVZ:Herp:257313,1,Sceloporus
POINT (-121.86558 40.43911),36,MVZ,40.43911,-121.86558,2007,MVZ:Herp:257301,1,Sceloporus
POINT (-120.5543833 40.55416389),37,CAS,40.55416389,-120.5543833,2003,CAS227622,1,Sceloporus
POINT (-120.61235 40.80434),38,MVZ,40.80434,-120.61235,2007,MVZ:Herp:257677,1,Sceloporus
POINT (-120.25143 39.43361),39,MVZ,39.43361,-120.25143,2004,MVZ:Herp:244363,1,Sceloporus
POINT (-118.28903 37.51225),41,LACM,37.51225,-118.28903,2015,LACM187165,1,Sceloporus
POINT (-118.0795 36.89098),42,LACM,36.89098,-118.0795,2015,LACM187133,1,Sceloporus
POINT (-118.00301 36.70302),43,LACM,36.70302,-118.00301,2014,LACM184714,1,Sceloporus
POINT (-118.8980806 36.79689444),45,CAS,36.79689444,-118.8980806,2002,CAS224917,1,Sceloporus
POINT (-118.1353611 36.025),46,CAS,36.025,-118.1353611,2000,CAS213179,1,Sceloporus
POINT (-118.2931944 35.83372222),47,CAS,35.83372222,-118.2931944,2002,CAS224910,1,Sceloporus
POINT (-118.3693611 35.67133333),48,CAS,35.67133333,-118.3693611,2001,CAS219619,1,Sceloporus
POINT (-118.23187 35.46931),49,MVZ,35.46931,-118.23187,2010,MVZ:Herp:265555,1,Sceloporus
POINT (-118.0723056 35.62188889),50,CAS,35.62188889,-118.0723056,2000,CAS213197,1,Sceloporus
POINT (-116.9280556 34.35861111),51,MVZ,34.35861111,-116.9280556,2005,MVZ:Herp:257096,1,Sceloporus
POINT (-116.765 32.5951),52,RF,32.5951,-116.765,NA,RF10,1,Sceloporus
POINT (-116.4136667 32.8745),53,MVZ,32.8745,-116.4136667,2001,MVZ:Herp:232848,1,Sceloporus
POINT (-116.778 33.8094),54,RF,33.8094,-116.778,NA,RF11,1,Sceloporus
POINT (-116.633 33.5447),55,RF,33.5447,-116.633,NA,RF_001TY533,1,Sceloporus
POINT (-116.874 33.7369),56,RF,33.7369,-116.874,NA,RF13,1,Sceloporus
POINT (-117.017 33.9341),57,RF,33.9341,-117.017,NA,RF19,1,Sceloporus
POINT (-117.313 33.9855),58,RF,33.9855,-117.313,NA,RF32,1,Sceloporus
POINT (-118.018456 34.177606),59,LACM,34.177606,-118.018456,2017,LACM188840,1,Sceloporus
POINT (-118.4545 34.07409),60,HBS,34.07409,-118.4545,NA,HBS133073,1,Sceloporus
POINT (-119.53062 34.40145),61,MVZ,34.40145,-119.53062,2005,MVZ:Herp:248469,1,Sceloporus
POINT (-119.8908333 35.00472222),62,MVZ,35.00472222,-119.8908333,2005,MVZ:Herp:257099,1,Sceloporus
POINT (-120.7521 35.45283333),63,CAS,35.45283333,-120.7521,2000,CAS214855,1,Sceloporus
POINT (-123.0644167 39.90536111),64,CAS,39.90536111,-123.0644167,2001,CAS220675,1,Sceloporus
POINT (-121.1111694 39.97931944),65,CAS,39.97931944,-121.1111694,2002,CAS234561,1,Sceloporus
POINT (-121.4316 40.4411),66,MVZ,40.4411,-121.4316,2007,MVZ:Herp:257328,1,Sceloporus
POINT (-121.5013611 40.77961111),67,CAS,40.77961111,-121.5013611,2003,CAS227116,1,Sceloporus
POINT (-120.1711694 39.86798889),68,CAS,39.86798889,-120.1711694,2015,CAS259640,1,Sceloporus
POINT (-121.7691667 39.77116667),69,CAS,39.77116667,-121.7691667,2003,CAS227900,1,Sceloporus
POINT (-122.1498056 40.24661111),70,CAS,40.24661111,-122.1498056,2003,CAS227430,1,Sceloporus
POINT (-121.1202222 39.67175),71,CAS,39.67175,-121.1202222,2003,CAS227691,1,Sceloporus
POINT (-121.4752953 39.7452175),72,CAS,39.7452175,-121.4752953,2004,CAS235795,1,Sceloporus
POINT (-120.43375 38.60622222),73,CAS,38.60622222,-120.43375,2005,CAS236226,1,Sceloporus
POINT (-119.7265917 37.09099444),74,CAS,37.09099444,-119.7265917,2002,CAS224937,1,Sceloporus
POINT (-120.64005 37.84006),75,MVZ,37.84006,-120.64005,2004,MVZ:Herp:245731,1,Sceloporus
POINT (-119.68343 34.0181),76,RF,34.0181,-119.68343,NA,RF_001TY532,1,Sceloporus
POINT (-118.52512 34.69994),77,LACM,34.69994,-118.52512,2018,LACM189587,1,Sceloporus
POINT (-118.6319444 35.46394444),78,CAS,35.46394444,-118.6319444,2002,CAS224099,1,Sceloporus
POINT (-117.6923 36.1769),79,MVZ,36.1769,-117.6923,2006,MVZ:Herp:269570,1,Sceloporus
POINT (-115.40425 35.14011),80,MVZ,35.14011,-115.40425,2010,MVZ:Herp:265298,1,Sceloporus
POINT (-116.454 34.1468),81,RF,34.1468,-116.454,NA,RF4,1,Sceloporus
POINT (-117.543 33.6151),82,RF,33.6151,-117.543,NA,RF40,1,Sceloporus
POINT (-117.672 33.8837),83,RF,33.8837,-117.672,NA,RF41,1,Sceloporus
POINT (-117.496 33.9613),84,RF,33.9613,-117.496,NA,RF38,1,Sceloporus
POINT (-119.028 34.1101),85,RF,34.1101,-119.028,NA,RF55,1,Sceloporus
POINT (-118.03014 34.33935),86,LACM,34.33935,-118.03014,2015,LACM186808,1,Sceloporus
POINT (-121.6934389 40.08143333),87,CAS,40.08143333,-121.6934389,2003,CAS227001,1,Sceloporus
POINT (-123.2462222 39.09325),88,CAS,39.09325,-123.2462222,2012,CAS251436,1,Sceloporus
POINT (-121.767507 38.00231),89,MVZ,38.00231,-121.767507,2003,MVZ:Herp:269522,1,Sceloporus
POINT (-118.47682 37.71002),90,LACM,37.71002,-118.47682,2016,LACM188004,1,Sceloporus
POINT (-118.9970889 36.96551944),91,CAS,36.96551944,-118.9970889,2007,CAS241780,1,Sceloporus
POINT (-119.1747222 36.79827778),92,CAS,36.79827778,-119.1747222,2002,CAS224887,1,Sceloporus
POINT (-117.5213333 34.336),93,MVZ,34.336,-117.5213333,2001,MVZ:Herp:232698,1,Sceloporus
POINT (-116.885 33.3395),94,RF,33.3395,-116.885,NA,RF14,1,Sceloporus
POINT (-117.401 33.7009),95,RF,33.7009,-117.401,NA,RF35,1,Sceloporus
POINT (-117.847 33.6371),96,RF,33.6371,-117.847,NA,RF46,1,Sceloporus
POINT (-117.18 33.4388),97,RF,33.4388,-117.18,NA,RF26,1,Sceloporus
POINT (-121.43755 36.81953333),99,CAS,36.81953333,-121.43755,2006,CAS233405,1,Sceloporus
POINT (-120.1352389 38.49745),100,CAS,38.49745,-120.1352389,2015,CAS259670,1,Sceloporus
POINT (-122.9726111 39.59286111),101,CAS,39.59286111,-122.9726111,2001,CAS220973,1,Sceloporus
POINT (-122.7266944 39.54927778),102,CAS,39.54927778,-122.7266944,2000,CAS212620,1,Sceloporus
POINT (-121.8571111 40.28652778),103,CAS,40.28652778,-121.8571111,2003,CAS227448,1,Sceloporus
POINT (-120.0743056 40.06177778),104,CAS,40.06177778,-120.0743056,2001,CAS225254,1,Sceloporus
POINT (-120.342875 38.26848056),105,CAS,38.26848056,-120.342875,2015,CAS259638,1,Sceloporus
POINT (-121.79858 39.23004),106,HBS,39.23004,-121.79858,NA,HBS134237,1,Sceloporus
POINT (-121.81368 39.25265),107,HBS,39.25265,-121.81368,NA,HBS134214,1,Sceloporus
POINT (-123.63105 40.94813),108,IW,40.94813,-123.63105,2020,1497,1,Sceloporus
POINT (-123.65864 40.94507),109,IW,40.94507,-123.65864,2020,1501,1,Sceloporus
POINT (-123.79027 40.01114),110,IW,40.01114,-123.79027,2020,1493,1,Sceloporus
POINT (-115.88857 35.77306),111,IW,35.77306,-115.88857,2020,1926,1,Sceloporus
POINT (-121.91607 36.45616),112,IW,36.45616,-121.91607,2020,1438,1,Sceloporus
POINT (-121.6385278 38.56547222),113,CAS,38.56547222,-121.6385278,2005,CAS236233,1,Sceloporus
POINT (-122.15111 38.09649),114,IW,38.09649,-122.15111,2020,2789,1,Sceloporus
POINT (-122.76521 38.72679),115,CAS,38.72679,-122.76521,2006,CAS234653,1,Sceloporus
POINT (-122.04566 37.92238),116,IW,37.92238,-122.04566,2020,2900,1,Sceloporus
POINT (-121.91584 37.53105),117,IW,37.53105,-121.91584,2020,1572,1,Sceloporus
POINT (-122.01627 37.42099),118,IW,37.42099,-122.01627,2020,2744,1,Sceloporus
POINT (-121.80506 37.33383),119,IW,37.33383,-121.80506,2020,2779,1,Sceloporus
POINT (-122.49592 37.49569),120,IW,37.49569,-122.49592,2020,2912,1,Sceloporus
POINT (-122.47357 37.79162),121,IW,37.79162,-122.47357,2020,2086,1,Sceloporus
POINT (-118.74896 36.5525),123,IW,36.5525,-118.74896,2020,2922,1,Sceloporus
POINT (-118.82643 36.49144),124,IW,36.49144,-118.82643,2020,2925,1,Sceloporus
POINT (-118.58352 36.79641),125,IW,36.79641,-118.58352,2020,2907,1,Sceloporus
POINT (-122.27842 37.78378),127,IW,37.78378,-122.27842,2020,2893,1,Sceloporus
POINT (-122.08894 37.55198),128,IW,37.55198,-122.08894,2020,1578,1,Sceloporus
POINT (-122.09763 37.73937),130,IW,37.73937,-122.09763,2020,2821,1,Sceloporus
POINT (-119.74482 38.31067),133,IW,38.31067,-119.74482,2020,3189,1,Sceloporus
POINT (-119.64751 37.71999),134,IW,37.71999,-119.64751,2020,3042,1,Sceloporus
POINT (-119.37142 37.71742),135,IW,37.71742,-119.37142,2020,3127,1,Sceloporus
POINT (-119.44988 37.84088),136,IW,37.84088,-119.44988,2020,3051,1,Sceloporus
POINT (-120.05366 37.83699),137,IW,37.83699,-120.05366,2020,3179,1,Sceloporus
POINT (-119.65245 37.54092),138,IW,37.54092,-119.65245,2020,3055,1,Sceloporus
POINT (-118.46051 35.13909),139,IW,35.13909,-118.46051,2020,3116,1,Sceloporus
POINT (-117.125 33.7061),140,RF,33.7061,-117.125,NA,RF24,1,Sceloporus
POINT (-122.47486 37.58036),142,IW,37.58036,-122.47486,2020,2916,1,Sceloporus
POINT (-122.7762778 39.36177778),144,CAS,39.36177778,-122.7762778,2001,CAS219452,1,Sceloporus
POINT (-121.2704722 40.68116667),145,CAS,40.68116667,-121.2704722,2003,CAS227178,1,Sceloporus
POINT (-122.64935 38.4402),146,IW,38.4402,-122.64935,2021,IW3203,1,Sceloporus
POINT (-122.6519694 38.17175),147,CAS,38.17175,-122.6519694,2013,CAS252970,1,Sceloporus
POINT (-123.00119 38.71644),148,IW,38.71644,-123.00119,2021,IW3205,1,Sceloporus
POINT (-122.85982 38.64033),149,IW,38.64033,-122.85982,2021,IW3206,1,Sceloporus
POINT (-122.8419167 38.80530556),150,CAS,38.80530556,-122.8419167,2012,CAS251463,1,Sceloporus
POINT (-122.3010917 38.76499167),151,CAS,38.76499167,-122.3010917,2012,CAS251641,1,Sceloporus
POINT (-118.602446 37.479132),152,LACM,37.479132,-118.602446,2017,LACM190475,1,Sceloporus
POINT (-118.617 35.64019444),154,CAS,35.64019444,-118.617,2002,CAS224101,1,Sceloporus
POINT (-118.614007 35.29752),155,LACM,35.29752,-118.614007,2015,LACM186903,1,Sceloporus
POINT (-122.32455 38.41672),156,IW,38.41672,-122.32455,2020,2782,1,Sceloporus
POINT (-120.34264 34.03757),157,LACM,34.03757,-120.34264,2013,LACM183699,1,Sceloporus
POINT (-120.3101833 35.16518333),158,CAS,35.16518333,-120.3101833,2000,CAS214858,1,Sceloporus
POINT (-122.30232 37.94243),1026,IW,37.94243,-122.30232,2020,2828,1,Sceloporus
POINT (-118.678 34.1844),5,RF,34.1844,-118.678,NA,RF50,1,Sceloporus
POINT (-118.69056 36.79964),126,IW,36.79964,-118.69056,2020,2930,1,Sceloporus
POINT (-118.4684167 36.01416667),525,CAS,36.01416667,-118.4684167,2001,CAS219607,1,Sceloporus
POINT (-120.32026 34.83394),296,LACM,34.83394,-120.32026,2018,LACM189918,1,Sceloporus
,,,,,,,,Sceloporus
